insulin nph human novolin n 100 unitml suspension subcutaneous as directed by prescriber	insulin nph human novolin n 100 unitml suspension 6376 units subcutaneous as directed by prescriber
patient seen and discussed with supervising consultant dr w who evaluated the patient and concurs with the assessment and plan	patient seen and discussed with supervising consultant dr b who saw and evaluated the patient and concurs with the assessment and plan
cholecalciferol vitamin d3 vitamin d3 1000 unit tablet 1 tablet by mouth one time daily	cholecalciferol vitamin d3 vitamin d 50000 unit capsule 1 capsule by mouth once a month
after a short observation period the patient was discharged under her own power and in excellent condition	after a short observation period the patient was discharged under their own power in excellent condition
discussed risks goals and necessity of other members of the team participating in the procedure with patient	i discussed the alternatives to the proposed surgical procedure with its goals benefits and limitationsrisks
the diagnosis anatomy basic pathophysiology and management plan of the disorder were discussed with the patient	place the adhesive backing of the maxi pad onto the breast binder and the padded side over the incision
discussed the risks goals alternatives and advanced directives and the necessity of other members of the healthcare team participating in the procedure with the patient or legal representative and other present during the discussion	discussed risks goals alternatives advanced directives and complications with the patient as well as necessity of other members of the surgical team participating in the interventional procedure
pain or pressure in cheeks or forehead over sinuses or in the upper jaw and discolored nasal or postnasal discharge	pain or pressure in cheeks or forehead over sinuses or in the upper jaw discolored nasal or postnasal discharge yellow and pain in the face or upper jaw that is worse on bending forward
patient arrives via emergency medical services unsteady gait assistance to cart history obtained from patient patient appears comfortable patient cooperative alert oriented to person place and time	patient arrives via emergency medical services unsteady gait assistance to cart history obtained from emergency medical services patient appears comfortable patient cooperative alert oriented to person place and time
the risks and benefits of the procedure were discussed and the patient consented to this procedure	the following health care goals were discussed the patient will continue with these goals
passing frequent small amounts of urine a strong persistent urge to urinate a burning pain when urinating blood in the urine or cloudy strongsmelling urine	feeling like you must urinate urgently urinating more often than normal and cloudy or foulsmelling urine
identified illness as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions	identified followup care as a learning need no barriers to learning were identified no interventions were used to address barriers to learning
no currently struggling to breathe even while inactive or resting new confusion or inability to stay alert and awake sudden current and excruciating ripping or stabbing pain characteristic of a dissecting aortic aneurysm currently feeling faint or passing out newly cold blue or pale leg on one side change in ability to move extremities or new weakness associated with neck or back pain or trauma to the neck or back new and continuous bilateral numbness in the groin or saddle area new loss of bowel or bladder function or constant and severe abdominal pain	no new confusion or inability to stay alert and awake new shortness of breath new wheezing or chest tightness or currently feeling like he is going to collapse every time he stands or sits up
no fever that has recurred after 24 hours without fever or temperature higher than 104 f or 40 c	no fever that has recurred after 24 hours without fever or temperature of 103f 394c or higher in an adult
based on the patients itinerary and medical history the following was advised and written information was provided general insect bite precautions and insect repellent use discussed and permethrin use	based on the patients reported itinerary and medical history the following is advised and written information per stay healthy while traveling provided and reviewed regarding food and water precautions and travelers diarrhea self management
respiratory assessment findings include respiratory effort easy respirations regular conversing normally no signs of distress breath sounds clear	respiratory assessment findings include respiratory effort tachypneic respirations regular conversing normally no signs of distress
identified illness as a learning need identified followup care as a learning need no barriers to learning were identified involved family member or primary caregiver to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching	identified illness as a learning need identified injury as a learning need identified procedures tests or preps as a learning need identified followup care as a learning need patients primary language is english no barriers to learning were identified involved family member or primary caregiver to address barriers to learning teaching methods used included printed patient instructions verbal instructions return demonstration patient demonstrated and verbalized an understanding of discharge teaching
patient is ready to learn no apparent barriers to learning were identified patient understands and agrees with plan	patient education ready to learn no apparent learning barriers were identified learning preferences include listening
patient ready to learn no apparent learning barriers were identified learning preferences include listening	ready to learn no apparent learning barriers were identified learning preferences included listening
patient discharged to home ambulating without assistance family driving accompanied by parent above persons verbalized understanding of discharge instructions and followup care	patient discharged to home ambulating without assistance family driving accompanied by parent discharge instructions given to patient above persons verbalized understanding of discharge instructions and followup care
goal today patient will be instructed in home program demonstrate understanding and state ability to continue independently	goalsoutcomes 1 patient will be instructed in home program demonstrate understanding and state ability to continue independently
no bulging eyes or staring appearance limited or painful eye movement or fever greater than 1004	no new wheezing suspected ear pain secretions or drainage from the eye bloodshot or pink eyes sneezing or irritable or fussier than usual
reviewed ncep iii guidelines with the patient including goals of total cholesterol less than 170 triglycerides less than 150 hdl cholesterol greater than 45 for mengreater than 55 for women and ldl cholesterol of less than 70	reviewed ncep iii guidelines with the patient including goals of total cholesterol less than 170 triglycerides less than 150 hdl cholesterol greater than 45 for men and ldl cholesterol of less than 70
patient discharged to home ambulating without assistance family driving accompanied by parent discharge instructions given to patient discharge instructions given to mother above persons verbalized understanding of discharge instructions and followup care	patient discharged to home ambulating without assistance family driving accompanied by parent discharge instructions given to patient discharge instructions given to mother
cardiovascular assessment findings include heart rate normal heart rhythm normal sinus with no ectopic beats	cardiovascular assessment findings include heart rate normal heart rhythm normal sinus with no ectopic beats no associated diaphoresis no associated dyspnea
barriers assessed cultural religiousspiritual motivational physicalcognitive language emotional	barriers to learning cultural religiousspiritual motivational physicalcognitive language emotional no apparent barriers to learning present ready to learn
patient needs assistance with the following instrumental activities of daily living meal preparation medication administration telephone use housekeeping shopping managing finances transportation use drive caruse taxibus	patient needs assistance with the following instrumental activities of daily living no assistance needed
goals patient will demonstrate a 50 decrease in pain in 46 sessions for increased participation in life or work activities	goalsoutcomes patient will demonstrate a 50 decrease in pain in 46 weeks for increased participation in required leisure or work activities
respiratory assessment findings include respiratory effort easy respirations regular conversing normally	respiratory assessment findings include respiratory effort easy respirations regular conversing normally no signs of distress no retractions noted no cyanosis breath sounds clear
she states that she has not missed or taken any accidental double doses of her coumadin therapy	she states that she has her blood pressure checked once a month and she normally gets systolics in the 160s
discussed risks goals and necessity of other members of the team participating in the procedure with patient	we discussed the possibility that other members of the health care team including resident physicians may participate in the operation
also discussed with the participant was an information sheet that hell take home explaining the role of the digital rectal exam and the prostate specific antigen in the detection of prostate cancer	it should be noted that the comments and suggestions contained in the adhd flow sheet report are based solely on my interpretation of the test results and a review of the patients emr
discussed risks goals alternatives advance directives and the necessity of other members of the healthcare team participating in the procedure with the patient	the patient understands and wishes to proceed on a date convenient for the patient and he understands the necessity of other members of the surgical team participating in the interventional procedure
discussed risks goals alternatives advanced directives and the necessity of other members of the healthcare team participating in the procedure	we discussed advance directives and the necessity of other members of the healthcare team participating in the procedure
no symptoms present greater than 7 days duration shaking chills pain in the side of the back below the ribs blood in the urine abdominal pain fever present greater than or equal to 1004 f or 38 c or suspected fever nausea or vomiting present or recent onset or change in vaginal discharge odor itching or painful intercourse	no shaking chills pain in the side of the back below the ribs blood in the urine abdominal pain fever present greater than or equal to 1004 f or 38 c or suspected fever nausea or vomiting present or recent onset or change in vaginal discharge odor itching or painful intercourse
insulin regular human novolin r 100 unitml solution subcutaneous as directed by prescriber	novolog mix 7030 flexpen 100 unitml 7030 insulin pen subcutaneous as directed by prescriber
no new confusion or inability to stay alert and awake struggling to breathe even while inactive or resting currently feeling like you are going to collapse every time you stand or sit up vomit that looks like ground coffee vomiting blood uncontrollable or continuous rectal bleeding black sticky tarlike stools heavy vaginal bleeding or purple or red rashblotches that stay when pressed by a glass purpuric rash	no new confusion or inability to stay alert and awake currently struggling to breathe even while inactive or resting currently feeling like you are going to collapse every time you stand sit any chest pain or discomfort sudden current and excruciating ripping or stabbing pain characteristic of a dissecting aortic aneurysm newly painful or blue toes on one side vomit that looks like ground coffee vomiting blood black sticky tarlike stools uncontrollable or continuous rectal bleeding or purple or red rashblotches that stay when pressed by a glass purpural rash
identified illness as a learning need no barriers to learning were identified teaching methods used included printed patient instructions verbal instructions	identified injury as a learning need identified followup care as a learning need patients primary language is english no barriers to learning were identified teaching methods used included printed patient instructions verbal instructions
given current medication regimen the following parameters should be monitored by outpatient providers none	given current medication regimen the following parameters should be monitored by outpatient providers response to medications and benefits as well as any side effects
no fever each day for more than three days fever that has recurred after 24 hours without fever or temperature of 103 f 394 c or more	no fever that has recurred after 24 hours without fever or recurrent unexplained fevers over several weeks
storage of drugs guns matches and chemicals yes the poison control number which is 18002221222	storage of drugs guns matches and chemicals no please provide safety the poison control number which is 18002221222
identified illness as a learning need no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included verbal instructions patient verbalized an understanding of discharge teaching	identified illness as a learning need patients primary language is english other identified barriers to learning included age involved family member or primary caregiver to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching
the patient does not have hypersensitivity to local anesthetic or depot steroid preparations	patient does not have recent onset of or change in vaginal discharge odor itching or painful intercourse
informed consent discussed risks goals alternatives and the necessity of other members of the healthcare team participating in the procedure with the patient and obtained informed consent	discussed goals risk alternatives advance directives and the necessity of other members of the surgical team participating in the procedure with the patient
instructions take 12 tablet approximately one hour before sexual activity maximum one tablet per day	instructions take one capsule by mouth as needed after each loose stool up to eight per day
peripheral iv site established in the right forearm using a 20 gauge catheter in one attempt	peripheral iv site established in the left forearm using a 20 gauge catheter in one attempt saline lock established
the patient tolerated the anesthesia and procedure well and was instructed in post procedure care	i have interviewed the patient and reviewed their history as described in the electronic medical record
identified followup care as a learning need no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching	identified illness as a learning need patients primary language is english glasses for vision identified as a barrier to learning no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching
goals of treatment patient will be instructed in home program demonstrate understanding and state ability to continue independently	therapy goals patient will be instructed in home program demonstrate understanding and state ability to continue independentlygoal
patient arrives ambulatory gait steady history obtained from patient patient appears comfortable patient cooperative alert	patient arrives ambulatory gait steady history obtained from patient patient appears in distress due to pain uncomfortable patient cooperative alert oriented to person place and time
identified illness as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions	identified illness as a learning need patients primary language is english other identified barriers to learning included age involved family member or primary caregiver to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching
client was provided with verbal and written weekend planning instructions	client was provided with verbal and written activity management self cares instructions
patient discharged to home ambulating without assistance family driving accompanied by parent discharge instructions given to patient above persons verbalized understanding of discharge instructions and followup care	patient discharged to home ambulating without assistance driving self unaccompanied discharge instructions given to patient simple or moderate discharge teaching performed
discussed the risks benefits alternatives advance directives and the necessity of other members of the healthcare team participating in the procedure	discussed risks goals advanced directive and alternatives with the patient and the necessity of other members of the surgical team participating in the interventional procedure
the client verbalized understanding and consented to the plan of care and the goals established	the patient verbalized understanding and agreed with the plan of care and she did not have any questions at this time
no currently inconsolable crying vomiting diarrhea not feeding normally poor weight gain or jaundice	no currently inconsolable crying vomiting not feeding normally fever rectal temperature of more than 1004
patient will demonstrate andor verbalize understanding of home exercise program in 1 sessions for improved self management of the condition	patient will demonstrate a 50 decrease in pain in 3 sessions for increased participation in life or work activities
discussed with the patient the necessity of other members of the healthcare team both male and female participating in the procedure if needed	discussed advanced directives and the necessity of other members of the healthcare team participating in the procedure with the patient and whomever else is present
the patient remained focused on group tasks and displayed interest in others and in the group process	the patient was attentive to the interactions of other group members displayed congruent body language remained focused on group tasks and displayed interest in others and in the group process
patient is here for the following immunizations live intranasal influenza virus vaccination	patient is here for the following immunizations inactivated influenza virus vaccination hepatitis a vaccine
learns best by verbal instruction while procedure is performed reading seeing listening doing	learns best by verbal instructions as procedure performed reading seeing listening doing
identified illness as a learning need no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions	identified illness as a learning need identified procedures tests or preps as a learning need identified followup care as a learning need no barriers to learning were identified teaching methods used included printed patient instructions
no new confusion or inability to stay alert and awake or purple or red rashblotches that stay when pressed by a glass purpural rash	no new confusion or inability to stay alert and awake currently feeling like you are going to collapse every time you stand sit complete inability to swallow newly painful neck with difficulty bending the neck purple or red rashblotches that stay when pressed by a glass purpural rash or pain pressure or tightness in the chest jaw or arm
negative constitutional review of systems historian denies chills fatigue fever weakness	negative genitourinary review of systems historian denies dysuria dysuria frequency hematuria
no new confusion or inability to stay alert and awake new shortness of breath new wheezing or chest tightness sudden swelling of the lips tongue or mouth sudden severe swelling of the eyelids difficulty swallowing that came on suddenly or purple or red rashblotches that stay when pressed by a glass purpuric rash	no new confusion or inability to stay alert and awake new wheezing or chest tightness sudden swelling of the lips tongue or mouth sudden onset of trouble swallowing or purple or red rashblotches that stay when pressed by a glass purpural rash
the general care of a sprain includes the use of a medication to reduce pain the use of a splint to reduce movement and resting icing compressing and elevating the injured area	the care of a sprain includes the use of pain medicine along with the use of a splint to reduce movement
the patient will meet individually with the group provider nearing completion of learn and prior to bariatric surgery	the patient may shower two weeks after the surgery with the use of the provided cloth sling
patient discharged to home ambulating without assistance family driving accompanied by parent above persons verbalized understanding of discharge instructions and followup care	patient discharged to home carried family driving accompanied by parent discharge instructions given to patient above persons verbalized understanding of discharge instructions and followup care
level 6 individual is able to understand communication in most activities but some limitations in comprehension are still apparent in vocational avocational and social activities	goal level 6 individual is successfully able to communicate intelligibly in most activities but some limitations in intelligibility are still apparent in vocalization avocational and social activities
no new confusion or inability to stay alert and awake feeling like you are going to pass out every time you stand or sit up blue or dusky lips skin or nail beds purple or red rashblotches that stay when pressed by a glass purpural rash newly stiff or painful neck or puffiness around the eyes	no newly stiff or painful neck purple or red rashblotches that stay when pressed by a glass purpural rash currently feeling like you are going to collapse every time you stand sit complete inability to swallow or currently struggling to breathe even while inactive or resting
frequency of feeling bad about yourself or that you are a failure or have let yourself or your family down in the past 2 weeks several days	feeling bad about yourselfor that you are a failure or have let yourself or your family down1 several days
patient arrives ambulatory gait steady history obtained from patient patient appears comfortable patient cooperative oriented to person place and time skin warm dry normal in color mucous membranes pink	complex assessment performed patient arrives via hospital wheelchair history obtained from patient patient appears comfortable patient cooperative alert oriented to person place and time
the diagnosis and treatment plans were explained and the patient expressed understanding of the content	i encouraged the patient to actively pursue a level of understanding and comfort with her sexuality
identified illness as a learning need no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient demonstrated an understanding of discharge teaching	identified illness as a learning need no barriers to learning were identified teaching methods used included printed patient instructions verbal instructions
negative respiratory review of systems historian denies cough shortness of breath sputum wheezing	negative constitutional review of systems historian denies chills fatigue fever weakness weight loss
medical necessity the patient would benefit from skilled physical therapy interventions to be able to return the patient to full selfcare activities	medical necessity the patient would benefit from skilled physical therapy interventions to be able to return the patient to full work home leisure selfcare sporting activities
albuterol 90 mcgactuation hfa aerosol 2 puffs by inhalation as directed by prescriber as needed	albuterol proventilventolin 90 mcgact hfa aerosol 2 puffs by inhalation as directed by prescriber
discussed the risks goals alternatives and advanced directives and the necessity of other members of the healthcare team participating in the procedure with the patient or legal representative and other present during the discussion	informed consent discussed the risks benefits alternatives and the necessity of other members of the healthcare team both male and female participating in the procedure
he has not been diagnosed with any lung disease diabetes a cardiovascular event prostate cancer or any other cancers	since the last contact he also has not been diagnosed with prostate cancer other primary cancer or a cardiovascular event
the patientcaregiver was encouraged to report any questions concerns new or worsening symptoms	the patient was encouraged to call back with questions concerns and new worsening symptoms
the remainder of a complete comprehensive multisystem review of systems is negative except as above	the remainder of the complete comprehensive multisystem review of systems is negative except as above
peripheral iv site established in the left antecubital using a 20 gauge catheter in one attempt	peripheral iv site established in the right hand using a 20 gauge catheter in one attempt
the general care of a sprain includes the use of a medication to reduce pain the use of a splint to reduce movement and resting icing compressing and elevating the injured area	the risks and benefits of cardiopulmonary resuscitation were discussed with the patient who expressed understanding of the issue
discussed the risks goals alternatives and the necessity of other members of the healthcare team participating in the procedure	discussed the risks benefits and alternatives of the procedure and advance directives and the necessity of other members of the healthcare team participating in the procedure
all questions were answered and the patient was provided with the following printed materials	his questions were answered and he verbalized understanding of these instructions and agreement with this plan
education provided on diagnosis and treatment plan using verbal instruction patient expressed acceptance of this and understanding of the content	education provided on diagnosis and treatment plan according to patients preferred learning style which includes listening
instructions apply one patch every twenty four hours leave on for up to twelve hours within a twenty four hour period	indication site and additional prescription instructions apply 1 patch every 24 hours leave on for up to 12 hours within a 24 hour period
dimension 2 biomedical conditions and complications the patient received a risk score of 1 patient demonstrates adequate ability to tolerate and cope with physical discomfort	dimension 3 emotional behavioral or cognitive conditions and complications the patient received a risk score of 1
right upper extremity assessment findings include capillary refill less than 2 seconds skin color normal to hand temperature to hand warm distal sensation intact	skin assessment findings include skin warm dry normal in color inspection findings include burn
patient seen and discussed with supervising consultant dr w who evaluated the patient and concurs with the assessment and plan	patient seen and discussed with supervising consultant g f s md who evaluated the patient and concurs with the assessment and plan
ready to learn no apparent learning barriers were identified learning preferences include listening	ready to learn no apparently learning barriers were identified learning preferences including listening
identified illness as a learning need no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions patient verbalized an understanding of discharge teaching	identified illness as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included verbal instructions
the patient had a chance to have any questions answered about the care plan and stated understanding and agreement with the care plan	patient was provided with written patient education materials and she relates a good understanding of the selfmanagement program
medications were reviewed by discussing verbally with patient reviewed by checking medication bottles brought in by patient	medications were reviewed by discussing verbally with patient reviewed by checking medication list brought in by patient reviewed by using cvi
benefits and risks of acupuncture were discussed with patient and patient consents to proceed with treatment	benefits and risks of acupuncture were discussed with patient and patient has signed consent authorization to proceed with treatment
we recommend that the patient remain abstinent from all moodaltering drugs including alcohol for the time period as specified	we recommend that the patient remain abstinent from all moodaltering drugs including alcohol for the time period as specified duration of program and indefinitely
she denies any signs or symptoms of bruising bleeding complications or thromboembolic events	she denies any shortness of breath dizziness chest pain fainting or loss of consciousness with exercise
dimension 5 relapse continued use or continued problem potential the patient continues to demonstrate a problem or has developed a new problem that requires coping skills and strategies to prevent relapse continued use or continued problems	dimension 6 recoveryliving environment the patient continues to demonstrate a problem in his or her recovery environment that requires coping skills and support system interventions
patient is here for the following immunizations tetanus and diphtheria and acellular pertussis tdap vaccine	patient is here for the following immunizations inactivated influenza virus vaccination meningococcal conjugate vaccine tetanus toxoid reduced diphtheria and acellular pertussis tdap vaccine
patient discharged to home carried family driving accompanied by parent above persons verbalized understanding of discharge instructions and followup care	patient discharged to home ambulating without assistance transported via taxi unaccompanied above persons verbalized understanding of discharge instructions and followup care
this patient education treatment modality addressed the asam dimension 4 readiness to change criteria	further peer confrontation education about addiction and participation is required to increase the patients readiness to change
discussed the risks benefits alternatives and the necessity of other members of the healthcare team both male and female participating in the procedure	discussed risk goals advance directive and alternatives with patient and the necessity of other members of the surgical team participating in the interventional procedure
the following should be done yearlyheight weight visual screening and blood pressure done this year injury prevention is as follows seatbelts yes smoke detectors yes bicycle or motorcycle helmet no please wear helmets guns and violence yes and there are no guns in the home other risk factors reviewed passive smoke not at risk exposure to tuberculosis no exposure sunscreens yes brushing teeth and dental care yes you see a dentist regularly	the following should be done yearlyheight weight visual screening and blood pressure done this year injury prevention is as follows seatbelts yes smoke detectors yes bicycle or motorcycle helmet no please wear helmets guns and violence yes this was discussed and guns should be locked other risk factors reviewed passive smoke not at risk exposure to tuberculosis no exposure sunscreens yes brushing teeth and dental care yes you see a dentist regularly exposure to loud noises not exposed you have had a divorce in your family or separation felt sad or are grieving no you are of caribbean latin american asian mediterranean or african descent no not at risk for sickle cell anemia carrier your shots are up to date yes and recorded in the past medical history
no currently inconsolable crying vomiting diarrhea not feeding normally fever rectal temperature of more than 1004	no currently inconsolable crying vomiting diarrhea not feeding normally cough or poor weight gain
cholecalciferol vitamin d3 vitamin d3 1000 unit tablet 1 tablet by mouth one time daily	multivitaminsiron pediatric fruity chews chewable tablet 1 tablet by mouth one time daily
patient arrives ambulatory history obtained from patient patient appears comfortable patient cooperative alert oriented to person place and time	patient arrives ambulatory gait steady history obtained from patient and parent patient appears comfortable patient cooperative alert oriented to person place and time
family at bedside call light within reach hospital id band on patient safety dignity sense of well being and individual rights are respected	side rails up cartstretcher in lowest position call light within reach hospital id band on patient in view of the nursing station safety dignity sense of well being and individual rights are respected
identified illness as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions patient verbalized an understanding of discharge teaching	identified injury as a learning need no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions
no localized area of red swollen tender and warm skin that is expanding red streaks going out from the localized area of redness or pus discharge	localized area of red swollen tender and warm skin that is expanding over period of couple hours
numbness or weakness of face or part of face not present numbness or weakness of arm not present numbness or weakness of leg not present and sudden visual changes not present	numbness or weakness of face or part of face not present numbness or weakness of arm not present numbness or weakness of leg present on both sides at the same time and sudden visual changes not present
patient education ready to learn no apparent learning barriers were identified learning preferences include listening	no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included verbal instructions
after explanation of the test and answering the patients questions the patient verbalized an understanding	the risks and benefits of clomiphene citrate were discussed versus the alternatives available to the patient and the patient verbalized understanding and wishes to proceed
patient education cognitive andor language difficulties or the patients age prevented the patient from understanding the diagnosis andor treatment plan	explained diagnosis and treatment plan patientcare giver expressed understanding of the content
i reviewed the history examined the patient reviewed the available imaging studies and agree with the findings as presented	i reviewed the results that are available with her in detail and i answered all of her questions to the best of my ability
no new confusion or inability to stay alert and awake currently feeling like you are going to collapse every time you stand or sit up complete inability to swallow new neck pain and difficulty bending the neck purple or red rashblotches that stay when pressed by a glass purpuric rash pain pressure or tightness in the chest arm or shoulder jaw or neck or large amounts of pink or white frothy sputum	no severe lethargy or floppiness refusing to move the neck current or recent seizure highpitched cry like a cats cry or a weak whimper or moaning cry that is not consolable purple or red rashblotches that stay when pressed by a glass purpuric rash or bulging or tense fontanel soft spot on the head when not crying
the dcs fellow is available for questions from the primary service overnight through the hospital operator	they are used when there is a blockage at the base of the bladder in the prostate or in the urethra the tube carrying urine from the bladder to the outside
the individual demonstrates emerging problem solving skills for complex problem solving tasks	level 4 the individual occasionally requires minimal cuesassistance to complete simple problem solving tasks in structured environments
no currently struggling to breathe even while inactive or resting currently feeling faint or passing out or new confusion or inability to stay alert and awake	no difficulty speaking or slurred speech feeling faint or about to pass out has fainted passed out or lost consciousness or new confusion or inability to stay alert and awake
patient tolerated treatment well and was able to demonstrate independence in performing the program	the patient tolerated the procedure and anesthesia well was extubated and then brought to the postanesthesia care unit in stable condition
discussed advance directives and the necessity of other members of the healthcare team participating in the procedure	the topic objectives were to a identify the treatment resources available in the community and b gain an awareness of the purpose of each of these resources
identified injury as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions patient verbalized an understanding of discharge teaching	identified injury as a learning need no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions
patient requires extensive assistance in the following activities bathing dressing groominghygiene toileting transfer tofrom bedchair mobility	patient needs assistance with the following instrumental activities of daily living unable to assess
f 38 c or suspected fever pain in the side of the back below the ribs flank pain or nausea or vomiting present	f or 38 c or suspected fever new wheezing or chest tightness runny or blocked nose or discharge down the back of the throat severe widespread muscle aches or extreme fatigue or exhaustion
patient will demonstrate andor verbalize understanding of home exercise program in 46 sessions	goals patient will demonstrate andor verbalize understanding of home exercise program in 12 sessions
instructions take one tablet by mouth in the morning and onehalf tablet by mouth at evening meal	instructions take two tablets by mouth in the morning and one tablet by mouth in the evening
patient will verbalize understanding of splint wear and care following one treatment session	patient andor family member present during this visit verbalized understanding of this additional content and instructions
the patient was attentive to the interactions of other group members and displayed congruent body language	the patient should follow the recommendations of the heart rhythm service with regard to return to driving
result is supra therapeutic result and dosage information phoned to patient and understanding verbalized	result is supra therapeutic result and dosage information given to patient and understanding verbalized
iv site 1 iv site 1 iv fluids established iv site 1 1st bag hung amount 1 liter iv site 1 bolus of 1000 ml established	iv site 1 into right antecubital iv site 1 iv fluids established iv site 1 1st bag hung amount 1 liter iv site 1 bolus of 1000 ml established via primary tubing
no inability to speak or make normal sounds new confusion or inability to stay alert and awake complete inability to swallow sudden onset of coughing choking or gagging due to inhaling something into the airway pain pressure or tightness in the chest arm or shoulder jaw or neck large amounts of pink or white frothy sputum or noisy wheezy or raspy breathing that doesnt clear with coughing	no inability to speak or make normal sounds new confusion or inability to stay alert and awake sudden swelling of the lips tongue or mouth sudden severe swelling of the eyelids struggling to breathe even while inactive or resting abrupt onset of breathing problems that came over the course of a minute or two sudden onset of coughing choking or gagging due to inhaling something into the airway change in heart rate or rhythm or rapid or skipped heartbeats or noisy wheezy or raspy breathing that doesnt clear with coughing
patient arrives via hospital wheelchair unsteady gait assistance to cart history obtained from patient patient appears comfortable patient cooperative alert oriented to person place and time	history obtained from patient patient appears generally ill patient cooperative alert oriented to person place and time
no itching or clear fluidfilled or pusfilled blisterssores on the rash that are either still in place or broken	clear fluidfilled or pusfilled blisterssores on the rash that are either still in place or broken
explained diagnosis and treatment plan patientchildcare giver expressed understanding of the content and agreement with the plan of care	the diagnosis and treatment plans were explained and the patient expressed understanding of the content
patients anxiolysis discharge level based on the following parameters alert oriented and stabile cardiorespiratory status yes	patients anxiolysis discharge level based on the following parameters alert oriented and stable cardiorespiratory status
patient discharged to home ambulating without assistance family driving accompanied by other family member above persons verbalized understanding of discharge instructions and followup care	patient discharged to home ambulating without assistance family driving accompanied by parent discharge instructions given to patient discharge instructions given to mother discharge instructions given to father
consent form reviewed dated and signed by participant and consent cosigner cms sc	consent form reviewed dated and signed by participant and consent cosigner k b rn sc
patient arrives ambulatory gait steady history obtained from patient patient cooperative alert oriented to person place and time	gait steady patient appears comfortable patient cooperative alert oriented to person place and time
no fever present greater than or equal to 1004 f or 38 c or suspected fever headache very itchy eyes nose roof of mouth or throat hoarseness or lost voice bad breath or ear pain	no fever present greater than or equal to 1004 f or 38 c or suspected fever headache puffiness around the eyes very itchy eyes nose or throat hoarseness or lost voice bad breath or ear pain
due to the patients cognitive impairment explained diagnosis and treatment plan to the patient and familycaregiver	i explained the diagnosis and treatment plan for the patient who expressed understanding of the content
discussed the risks goals alternatives and advanced directives and the necessity of other members of the healthcare team participating in the procedure with the patient or legal representative and others present during the discussion	informed consent for sedated bone marrow discussed risks goals and alternatives to sedated bone marrow aspiration and biopsy advance directives and the necessity of other members of the healthcare team participating in the procedure with the patient
ready to learn no apparent learning barriers were identified learning preference include listening	patient education ready to learn no apparent learning barriers were identified learning preferences include listening
patient has no exclusion criteria to receiving vaccines as per childhood vaccination protocol	patient meets screening eligibility criteria to receive vaccine per the childhood vaccination protocol
i explained the diagnosis and treatment plan for the patient who expressed understanding of the content	the above was discussed with the patient and her husband and they voiced understanding of the content and plan
